Nom;Code département;Nom de la région;Population totale
Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;43454
Laon;02;Hauts-de-France;26031
Saint-Quentin;02;Hauts-de-France;55940
Soissons;02;Hauts-de-France;29417
Montluçon;03;Auvergne-Rhône-Alpes;37417
Gap;05;Provence-Alpes-Côte d'Azur;42567
Antibes;06;Provence-Alpes-Côte d'Azur;74982
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;50385
Cannes;06;Provence-Alpes-Côte d'Azur;75046
Le Cannet;06;Provence-Alpes-Côte d'Azur;42056
Grasse;06;Provence-Alpes-Côte d'Azur;51705
Menton;06;Provence-Alpes-Côte d'Azur;28942
Nice;06;Provence-Alpes-Côte d'Azur;345998
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28831
Vallauris;06;Provence-Alpes-Côte d'Azur;26787
Charleville-Mézières;08;Grand Est;48420
Troyes;10;Grand Est;61988
Carcassonne;11;Occitanie;47418
Narbonne;11;Occitanie;55001
Rodez;12;Occitanie;25747
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;146385
Arles;13;Provence-Alpes-Côte d'Azur;53807
Aubagne;13;Provence-Alpes-Côte d'Azur;45711
La Ciotat;13;Provence-Alpes-Côte d'Azur;35758
Istres;13;Provence-Alpes-Côte d'Azur;44248
Marignane;13;Provence-Alpes-Côte d'Azur;33949
Marseille;13;Provence-Alpes-Côte d'Azur;870018
Martigues;13;Provence-Alpes-Côte d'Azur;49310
Miramas;13;Provence-Alpes-Côte d'Azur;26217
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;46225
Vitrolles;13;Provence-Alpes-Côte d'Azur;34301
Caen;14;Normandie;108461
Aurillac;15;Auvergne-Rhône-Alpes;27659
Angoulême;16;Nouvelle-Aquitaine;44629
La Rochelle;17;Nouvelle-Aquitaine;78623
Saintes;17;Nouvelle-Aquitaine;26890
Bourges;18;Centre-Val de Loire;67841
Vierzon;18;Centre-Val de Loire;27036
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;48333
Ajaccio;2A;Corse;70063
Bastia;2B;Corse;45596
Dijon;21;Bourgogne-Franche-Comté;159031
Saint-Brieuc;22;Bretagne;47058
Bergerac;24;Nouvelle-Aquitaine;28166
Périgueux;24;Nouvelle-Aquitaine;31505
Besançon;25;Bourgogne-Franche-Comté;120107
Montbéliard;25;Bourgogne-Franche-Comté;26015
Montélimar;26;Auvergne-Rhône-Alpes;39924
Romans-sur-Isère;26;Auvergne-Rhône-Alpes;34095
Valence;26;Auvergne-Rhône-Alpes;64322
Évreux;27;Normandie;51560
Chartres;28;Centre-Val de Loire;40195
Dreux;28;Centre-Val de Loire;31575
Brest;29;Bretagne;142629
Quimper;29;Bretagne;66743
Alès;30;Occitanie;41129
Nîmes;30;Occitanie;154196
Colomiers;31;Occitanie;39200
Muret;31;Occitanie;25961
Toulouse;31;Occitanie;482738
Tournefeuille;31;Occitanie;27008
Bègles;33;Nouvelle-Aquitaine;28092
Bordeaux;33;Nouvelle-Aquitaine;256045
Gradignan;33;Nouvelle-Aquitaine;26029
Libourne;33;Nouvelle-Aquitaine;25491
Mérignac;33;Nouvelle-Aquitaine;71203
Pessac;33;Nouvelle-Aquitaine;62737
Saint-Médard-en-Jalles;33;Nouvelle-Aquitaine;31576
Talence;33;Nouvelle-Aquitaine;44040
La Teste-de-Buch;33;Nouvelle-Aquitaine;26525
Villenave-d'Ornon;33;Nouvelle-Aquitaine;33091
Agde;34;Occitanie;28120
Béziers;34;Occitanie;77894
Lunel;34;Occitanie;26263
Montpellier;34;Occitanie;286098
Sète;34;Occitanie;44271
Rennes;35;Bretagne;222104
Saint-Malo;35;Bretagne;47528
Châteauroux;36;Centre-Val de Loire;45780
Joué-lès-Tours;37;Centre-Val de Loire;37974
Tours;37;Centre-Val de Loire;139963
Bourgoin-Jallieu;38;Auvergne-Rhône-Alpes;28399
Échirolles;38;Auvergne-Rhône-Alpes;36143
Grenoble;38;Auvergne-Rhône-Alpes;160836
Saint-Martin-d'Hères;38;Auvergne-Rhône-Alpes;38974
Vienne;38;Auvergne-Rhône-Alpes;30178
Mont-de-Marsan;40;Nouvelle-Aquitaine;31517
Blois;41;Centre-Val de Loire;47524
Roanne;42;Auvergne-Rhône-Alpes;35913
Saint-Chamond;42;Auvergne-Rhône-Alpes;35969
Saint-Étienne;42;Auvergne-Rhône-Alpes;174298
Nantes;44;Pays de la Loire;314611
Orvault;44;Pays de la Loire;26618
Rezé;44;Pays de la Loire;41808
Saint-Herblain;44;Pays de la Loire;47502
Saint-Nazaire;44;Pays de la Loire;72295
Saint-Sébastien-sur-Loire;44;Pays de la Loire;27591
Orléans;45;Centre-Val de Loire;118102
Agen;47;Nouvelle-Aquitaine;34565
Angers;49;Pays de la Loire;155543
Cholet;49;Pays de la Loire;55772
Saumur;49;Pays de la Loire;28554
Sèvremoine;49;Pays de la Loire;26239
Cherbourg-en-Cotentin;50;Normandie;82578
Châlons-en-Champagne;51;Grand Est;46288
Reims;51;Grand Est;187074
Saint-Dizier;52;Grand Est;25666
Laval;53;Pays de la Loire;52359
Nancy;54;Grand Est;106953
Vandœuvre-lès-Nancy;54;Grand Est;30502
Lorient;56;Bretagne;58789
Vannes;56;Bretagne;55573
Metz;57;Grand Est;119856
Thionville;57;Grand Est;41396
Nevers;58;Bourgogne-Franche-Comté;34799
Armentières;59;Hauts-de-France;25373
Cambrai;59;Hauts-de-France;33349
Douai;59;Hauts-de-France;40860
Dunkerque;59;Hauts-de-France;89485
Lambersart;59;Hauts-de-France;28027
Lille;59;Hauts-de-France;236782
Marcq-en-Barœul;59;Hauts-de-France;39697
Maubeuge;59;Hauts-de-France;29995
Roubaix;59;Hauts-de-France;96953
Tourcoing;59;Hauts-de-France;98170
Valenciennes;59;Hauts-de-France;44509
Villeneuve-d'Ascq;59;Hauts-de-France;63085
Wattrelos;59;Hauts-de-France;41570
Beauvais;60;Hauts-de-France;57548
Compiègne;60;Hauts-de-France;41660
Creil;60;Hauts-de-France;36091
Alençon;61;Normandie;27221
Arras;62;Hauts-de-France;41973
Béthune;62;Hauts-de-France;25753
Boulogne-sur-Mer;62;Hauts-de-France;42293
Calais;62;Hauts-de-France;75719
Hénin-Beaumont;62;Hauts-de-France;26260
Lens;62;Hauts-de-France;31080
Liévin;62;Hauts-de-France;31337
Clermont-Ferrand;63;Auvergne-Rhône-Alpes;146112
Anglet;64;Nouvelle-Aquitaine;39995
Bayonne;64;Nouvelle-Aquitaine;51943
Biarritz;64;Nouvelle-Aquitaine;25518
Pau;64;Nouvelle-Aquitaine;79022
Tarbes;65;Occitanie;41862
